setup,replay_kernel_sum_us,replay_whole_us,eager_us,tcompile_us,emmy_reference_us,reps
decode_gqa-b1-s1024,6.4,8.2,123.7,15.3,1935.0,1
decode_gqa-b1-s2048,9.9,12.3,233.5,20.4,37.0,1
decode_gqa-b1-s4096,10.7,12.3,543.0,29.4,849.6,1
decode_gqa-b1-s8192,17.9,20.2,1146.5,49.8,29342.4,1
decode_gqa-b1-s16384,34.4,36.5,2365.5,101.2,58703.5,1
decode_gqa-b1-s32768,89.5,90.1,4830.4,197.4,5561.0,1
decode_gqa-b8-s1024,17.5,18.4,1084.7,52.0,3763.8,1
decode_gqa-b8-s2048,34.2,35.1,2355.2,95.0,99.6,1
decode_gqa-b8-s4096,89.3,90.2,4854.1,178.9,15053.4,1
decode_gqa-b8-s8192,190.2,192.2,9724.3,382.6,248.2,1
decode_gqa-b8-s16384,372.7,374.8,19378.3,716.4,999.1,1
